Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
778.9588612999942	60.0	60.0	700-800	-0.0010386584351905089
778.9588612999942	60.0	60.0	800-900	-0.009555949979293696
778.9588612999942	60.0	60.0	900-1100	-1.9780034691398924
785.6410902999924	70.0	60.0	500-600	0.0
785.6410902999924	70.0	60.0	600-700	0.0
785.6410902999924	70.0	60.0	700-800	0.01226562247107597
785.6410902999924	70.0	60.0	800-900	0.0913432264389485
785.6410902999924	70.0	60.0	900-1100	1.874590343825524
793.0230302999989	80.0	60.0	500-600	0.0
793.0230302999989	80.0	60.0	600-700	0.0
793.0230302999989	80.0	60.0	700-800	-0.001106155598981268
793.0230302999989	80.0	60.0	800-900	-0.00873798041958459
793.0230302999989	80.0	60.0	900-1100	-0.6240456501050318
813.4195386000065	0.0	70.0	500-600	0.0
813.4195386000065	0.0	70.0	600-700	0.0
813.4195386000065	0.0	70.0	700-800	0.01888107706928793
813.4195386000065	0.0	70.0	800-900	0.1084159171294399
813.4195386000065	0.0	70.0	900-1100	2.4562270384760168
820.2418641999975	10.0	70.0	500-600	0.0
820.2418641999975	10.0	70.0	600-700	0.0
820.2418641999975	10.0	70.0	700-800	0.012065699446411195
820.2418641999975	10.0	70.0	800-900	0.07638744323255667
820.2418641999975	10.0	70.0	900-1100	1.7199269223206486
826.9939180999936	20.0	70.0	500-600	0.0
826.9939180999936	20.0	70.0	600-700	0.0
826.9939180999936	20.0	70.0	700-800	0.01969279695760596
826.9939180999936	20.0	70.0	800-900	0.11501180376396836
826.9939180999936	20.0	70.0	900-1100	2.6973229881528997
834.3409895999939	30.0	70.0	500-600	0.0
834.3409895999939	30.0	70.0	600-700	0.0
834.3409895999939	30.0	70.0	700-800	0.02083437104404014
834.3409895999939	30.0	70.0	800-900	0.09715273710921125
834.3409895999939	30.0	70.0	900-1100	1.93216183902216
843.6119566999987	40.0	70.0	500-600	0.0
843.6119566999987	40.0	70.0	600-700	0.0
843.6119566999987	40.0	70.0	700-800	0.013763007729844241
843.6119566999987	40.0	70.0	800-900	0.06019279485985575
843.6119566999987	40.0	70.0	900-1100	0.04018434864211101
850.8189713000029	50.0	70.0	500-600	0.0
850.8189713000029	50.0	70.0	600-700	0.0
850.8189713000029	50.0	70.0	700-800	-0.0027068725140129354
850.8189713000029	50.0	70.0	800-900	-0.02675773753522048
850.8189713000029	50.0	70.0	900-1100	-1.2679807421719465
856.9764515999996	60.0	70.0	500-600	0.0
856.9764515999996	60.0	70.0	600-700	0.0
856.9764515999996	60.0	70.0	700-800	-0.005146169154802463
856.9764515999996	60.0	70.0	800-900	-0.04222597839859874
856.9764515999996	60.0	70.0	900-1100	-1.4304609563959816
863.3787746000016	70.0	70.0	500-600	0.0
863.3787746000016	70.0	70.0	600-700	0.0
863.3787746000016	70.0	70.0	700-800	-0.003127250568554473
863.3787746000016	70.0	70.0	800-900	-0.025781471069053784
863.3787746000016	70.0	70.0	900-1100	-1.3212092527513328
869.886062000005	80.0	70.0	500-600	0.0
869.886062000005	80.0	70.0	600-700	0.0
869.886062000005	80.0	70.0	700-800	-0.004349967911685065
869.886062000005	80.0	70.0	800-900	-0.021826624961209008
869.886062000005	80.0	70.0	900-1100	-0.7790863272991623
881.2564198000036	0.0	80.0	500-600	0.0
881.2564198000036	0.0	80.0	600-700	0.0
881.2564198000036	0.0	80.0	700-800	0.019531330307738116
881.2564198000036	0.0	80.0	800-900	0.10493763203866331
881.2564198000036	0.0	80.0	900-1100	2.731247681147191
887.658686499999	10.0	80.0	500-600	0.0
887.658686499999	10.0	80.0	600-700	0.0
887.658686499999	10.0	80.0	700-800	0.011834739221380933
887.658686499999	10.0	80.0	800-900	0.0768201303237216
887.658686499999	10.0	80.0	900-1100	1.8366174797494397
897.5945409999986	20.0	80.0	500-600	0.0
897.5945409999986	20.0	80.0	600-700	0.0
897.5945409999986	20.0	80.0	700-800	0.007802935495950623
897.5945409999986	20.0	80.0	800-900	0.04663939678166473
897.5945409999986	20.0	80.0	900-1100	1.121244308272669
904.9765263000008	30.0	80.0	500-600	0.0
904.9765263000008	30.0	80.0	600-700	0.0
904.9765263000008	30.0	80.0	700-800	-0.00029012887681323005
904.9765263000008	30.0	80.0	800-900	-0.019146788596059956
